Logistic Regression,Random Forest,Gradient Boosting (GBM),SVM,KNN,Setting,Dataset
0.4512121212121212,0.5365151515151515,0.52,0.5206060606060606,0.5231818181818182,W/o Close,ethereum.csv
0.4815151515151515,0.5530303030303031,0.5331818181818182,0.4763636363636364,0.4821212121212122,W/o Close,fantom.csv
0.5324398416082851,0.4929942126104173,0.4255254340542187,0.5229972586049345,0.49086201644837046,W/o Close,filecoin.csv
0.4954545454545454,0.5421212121212121,0.46878787878787875,0.4796969696969697,0.5142424242424243,W/o Close,flow.csv
0.5454002389486261,0.524641577060932,0.5734767025089605,0.4650537634408602,0.5267323775388291,W/o Close,hedera.csv
0.47303030303030297,0.53,0.5066666666666666,0.4257575757575758,0.49257575757575756,W/o Close,immutable.csv
0.5324398416082851,0.5292415473652148,0.49406031069144074,0.4636003655193421,0.5036551934206518,W/o Close,injective.csv
0.48405365126676597,0.44739195230998513,0.4113263785394933,0.516542473919523,0.4847988077496274,W/o Close,internet_computer.csv
0.6019036954087346,0.4899216125419933,0.5207166853303471,0.44960806270996634,0.48824188129899215,W/o Close,kaspa.csv
0.483273596176822,0.5204599761051374,0.4986559139784947,0.5128434886499402,0.4502688172043011,W/o Close,lido.csv
0.5370205173951829,0.4778471602735653,0.5078798691644365,0.448706512042819,0.5304787392209337,W/o Close,litecoin.csv
0.568733153638814,0.478586403114705,0.5459718478586404,0.4384546271338724,0.5723270440251572,W/o Close,maker.csv
0.5269811902559358,0.48226950354609927,0.5316065371569535,0.5238976256552574,0.4777983348751156,W/o Close,near.csv
0.46638257575757575,0.49976325757575757,0.5037878787878788,0.4275568181818181,0.49976325757575757,W/o Close,optimism.csv
0.9090909090909091,0.9848484848484848,0.3787878787878788,0.5151515151515151,0.7196969696969697,W/o Close,pepe.csv
0.49775381850853545,0.522461814914645,0.5034441449535789,0.45762204252770294,0.4591194968553459,W/o Close,polkadot.csv
0.5303485576923078,0.586688701923077,0.5594951923076923,0.5354567307692307,0.53125,W/o Close,polygon.csv
0.38763197586727,0.42549019607843136,0.4711915535444947,0.4838612368024133,0.4487179487179487,W/o Close,render.csv
0.5627433363282419,0.4721473495058401,0.5654387541179995,0.5600479185384846,0.5720275531596286,W/o Close,sandbox.csv
0.7141509433962264,0.6146226415094339,0.5188679245283019,0.5745283018867925,0.5367924528301887,W/o Close,shiba_inu.csv
0.5244922341696535,0.5669056152927121,0.5185185185185185,0.4752090800477898,0.5531660692951015,W/o Close,solana.csv
0.5053571428571428,0.4342261904761905,0.5351190476190476,0.5235119047619048,0.4714285714285714,W/o Close,stacks.csv
0.5554564377044305,0.4888492417484389,0.5162057686589354,0.5075825156110616,0.5396966993755575,W/o Close,stellar.csv
0.7254901960784313,0.6258169934640523,0.5522875816993464,0.35947712418300654,0.607843137254902,W/o Close,sui.csv
0.5205357142857143,0.577827380952381,0.5616071428571429,0.6598214285714286,0.4592261904761905,W/o Close,tether.csv
0.5003030303030302,0.5607575757575757,0.5824242424242425,0.4360606060606061,0.5345454545454545,W/o Close,tezos.csv
0.4985065710872162,0.5458482676224611,0.4551971326164874,0.47461170848267625,0.46624850657108724,W/o Close,theta.csv
0.75,0.6375,0.7333333333333334,0.19999999999999998,0.6708333333333334,W/o Close,the_graph.csv
0.5135295866785607,0.5471305382099315,0.5248290217068095,0.5108534046981861,0.4779958370502528,W/o Close,toncoin.csv
0.5958946078431372,0.4537377450980392,0.5450367647058824,0.444546568627451,0.5615808823529411,W/o Close,tron.csv
0.5001486767766874,0.520963425512935,0.5310734463276837,0.5275052036871841,0.4818614332441272,W/o Close,uniswap.csv
0.4255765199161426,0.707097933513028,0.6972147349505841,0.4693021862833183,0.3999700509134472,W/o Close,usd_coin.csv
0.41856971153846156,0.46439302884615385,0.4353966346153846,0.46634615384615385,0.4822716346153846,W/o Close,vechain.csv
0.4455357142857143,0.5220238095238094,0.4988095238095238,0.47500000000000003,0.5447916666666666,W/o Close,xrp.csv
0.4852459016393443,0.5284649776453055,0.5022354694485842,0.4248882265275708,0.5688524590163935,W/o High,aave.csv
0.4773358001850138,0.5135676842429849,0.5035460992907801,0.5090965155720013,0.4870490286771508,W/o High,algorand.csv
0.5884652981427174,0.552297165200391,0.44868035190615835,0.5219941348973607,0.6192570869990225,W/o High,aptos.csv
0.6538461538461539,0.625,0.6126373626373627,0.47390109890109894,0.5782967032967032,W/o High,arbitrum.csv
0.41414141414141414,0.5026830808080808,0.4741161616161616,0.4267676767676768,0.4829545454545454,W/o High,avalanche.csv
0.48095238095238096,0.5436011904761905,0.5773809523809524,0.4913690476190476,0.5072916666666667,W/o High,axie_infinity.csv
0.46033653846153844,0.4636418269230769,0.4747596153846154,0.4885817307692307,0.4777644230769231,W/o High,binance_coin.csv
0.4634873323397914,0.5263785394932936,0.49806259314456036,0.5377049180327869,0.4535022354694486,W/o High,bitcoin.csv
0.5640796907523045,0.512042818911686,0.5465358311031817,0.49836455545643776,0.45703241153731794,W/o High,bitcoin_cash.csv
0.4546003016591252,0.4923076923076923,0.48325791855203615,0.4914027149321267,0.5390648567119156,W/o High,cardano.csv
0.47304294852269263,0.49862930246725556,0.47456594578129757,0.510204081632653,0.5167529698446542,W/o High,chainlink.csv
0.5171385991058122,0.5062593144560357,0.4473919523099851,0.5093889716840536,0.5035767511177347,W/o High,cosmos.csv
0.6180889423076923,0.5138221153846153,0.49789663461538464,0.3924278846153847,0.5838341346153847,W/o High,decentraland.csv
0.5161387631975868,0.5745098039215687,0.4832579185520362,0.5,0.6199095022624435,W/o High,dogecoin.csv
0.5683257918552036,0.5266968325791855,0.4835595776772248,0.4027149321266969,0.5514328808446456,W/o High,eos.csv
0.4481818181818182,0.5568181818181818,0.48484848484848486,0.5225757575757575,0.5231818181818182,W/o High,ethereum.csv
0.4793939393939394,0.5572727272727273,0.5272727272727273,0.47727272727272724,0.48075757575757583,W/o High,fantom.csv
0.534572037770332,0.48263783125190374,0.4559853792263174,0.5214742613463296,0.49268961315869636,W/o High,filecoin.csv
